uri:ID,:LABEL,preferredLabel,description,skillType,reuseLevel,status,collection,coverageLevel,code
http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,DigCompSkill,solve technical problems,"Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems).",skill/competence,cross-sector,released,DigComp,high,DCOMP_14832d87-2f2f-4895-b290-e4760ebae42a
http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,DigCompSkill,use e-services,Participate in society through the use of public and private digital services. Seek opportunities for self-empowerment and for participatory citizenship through appropriate digital technologies.,skill/competence,cross-sector,released,DigComp,high,DCOMP_16a00c69-9c74-4c37-96d7-6301d285e5ce
http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,DigCompSkill,creatively use digital technologies,Use digital tools and technologies to create knowledge and to innovate processes and products. Engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.,skill/competence,cross-sector,released,DigComp,high,DCOMP_1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9
http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,DigCompSkill,"evaluate data, information and digital content","Analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content. Analyse, interpret and critically evaluate the data, information and digital content.",skill/competence,cross-sector,released,DigComp,high,DCOMP_1d6c7de4-350e-4868-a47b-333b4b0d9650
http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,DigCompSkill,computer programming,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages.",knowledge,cross-sector,released,DigComp,high,DCOMP_21d2f96d-35f7-4e3f-9745-c533d2dd6e97
http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,DigCompSkill,identify digital competence gaps,Understand where one’s own digital competence needs to be improved or updated. Be able to support others with their digital competence development. Seek opportunities for self-development and keep up-to-date with the digital evolution.,skill/competence,cross-sector,released,DigComp,high,DCOMP_238343b1-7b51-42b3-a9ed-cf24d3a236e7
http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,DigCompSkill,collaborate through digital technologies,"Use digital tools and technologies for collaborative processes, and for co-construction and co-creation of resources and knowledge.",skill/competence,cross-sector,released,DigComp,high,DCOMP_2b34a99f-9813-4c91-9509-b6b9b8c3132e
http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,DigCompSkill,protect personal data and privacy,Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a “Privacy policy” to inform how personal data is used.,skill/competence,cross-sector,released,DigComp,high,DCOMP_33a82b83-c838-4889-ae62-fae1317481eb
http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,DigCompSkill,share through digital technologies,"Share data, information and digital content with others through appropriate digital technologies. Act as an intermediary, know about referencing and attribution practices.",skill/competence,cross-sector,released,DigComp,high,DCOMP_40001d93-8937-4859-89d5-2dca53290ff4
http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,DigCompSkill,ICT safety,"Personal protection, data protection, digital identity protection, security measures, safe and sustainable use.",,,released,DigComp,high,DCOMP_426ceaba-6867-481c-bb6b-aee3933da7d2
