uri:ID,:LABEL,preferredLabel,description,skillType,reuseLevel,status,collection,coverageLevel,code
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,DigitalSkill,Haskell,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell.",knowledge,sector-specific,released,Digital,high,DIG_000f1d3d-220f-4789-9c0a-cc742521fb02
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,DigitalSkill,incremental development,The incremental development model is a methodology to design software systems and applications.,knowledge,sector-specific,released,Digital,high,DIG_00c04e40-35ea-4ed1-824c-82f936c8f876
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,DigitalSkill,KDevelop,"The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE.",knowledge,sector-specific,released,Digital,high,DIG_013441c1-1f13-47e9-80c4-9a53e8e1bc05
http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,DigitalSkill,Absorb (learning management systems),"The learning system Absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for secondary school students.",knowledge,sector-specific,released,Digital,high,DIG_0189f448-179e-47cc-9716-c5c3ac4b1aec
http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,DigitalSkill,develop blockchain innovative architectures,Develop new blockchain architectures that address properties and priorities as they are needed by specific applications. Argue the advantages and shortcomings of such new architectures with respect to existing ones.,skill/competence,cross-sector,released,Digital,high,DIG_01d269d9-b058-4d6c-82a0-3779af9a124b
http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,DigitalSkill,network engineering,"The subfield of computer technology that concerns the managing the connectivity of networks through data, voice, calls and wireless network services.",knowledge,sector-specific,released,Digital,high,DIG_02058de6-4b98-449f-8a45-8588b0eb2446
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,DigitalSkill,migrate existing data,"Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems.",skill/competence,sector-specific,released,Digital,high,DIG_020918ef-4b55-47c1-8430-ab7b8f6a7377
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,DigitalSkill,define database physical structure,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary.",skill/competence,sector-specific,released,Digital,high,DIG_022dc430-872a-473a-9cf4-fed4895e58ad
http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,DigitalSkill,Maltego,"The platform Maltego is a forensic application that uses data mining to deliver on overview of organisations' environment, testing security weaknesses of the system for potentially unauthorised access and demonstrates the complexity of infrastructure failures.",knowledge,sector-specific,released,Digital,high,DIG_024037ca-96a9-4cb8-ba86-2cd5a209c90a
http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,DigitalSkill,operate radio equipment,"Set up and operate radio devices and accessories, such as broadcast consoles, amplifiers, and microphones. Understand the basics of radio operator language and, when necessary, provide instruction in handling radio equipment correctly.",skill/competence,cross-sector,released,Digital,high,DIG_0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe
http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,DigitalSkill,Erlang,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Erlang.",knowledge,sector-specific,released,Digital,high,DIG_034c29fa-c3ba-45ea-b8f3-bf8e3705e386
http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,DigitalSkill,manage ICT data classification,Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data.,skill/competence,sector-specific,released,Digital,high,DIG_03a74eee-2dc6-4147-8667-5cdeb65f122d
http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,DigitalSkill,information structure,"The type of infrastructure which defines the format of data: semi-structured, unstructured and structured.",knowledge,sector-specific,released,Digital,high,DIG_03ff0d53-573a-47a0-a0ad-1995815a4339
http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,DigitalSkill,manage temporary ICT networks for live performance,"Manage the set-up of networks for distribution of control signals for performing art and event applications. Coordinates with the different users. Defines and sets-up the equipment, cables, connections and devices. Configures, tests and monitors equipment and performance of the network. Control signals include for example DMX, RDM, MIDI, Timecode, tracking and positioning data, but also audio, video and positioning signals. ",skill/competence,occupation-specific,released,Digital,high,DIG_04473991-161d-46db-8684-0d5ed6cb6c66
http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,DigitalSkill,keep up with digital transformation of industrial processes,Keep up to date with digital innovations applicable to industrial processes. Integrate these transformations in the company's processes aiming for competitive and profitable business models.,skill/competence,sector-specific,released,Digital,high,DIG_0458f6a0-cb54-4ff5-a543-b2c5354e17c0
http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,DigitalSkill,set up office equipment,"Connect office equipment, such as modems, scanners and printers, to the electricity network and perform electrical bonding to avoid dangerous potential differences. Test the installation for proper functioning. Monitor settings and prepare the appliance for usage.",skill/competence,occupation-specific,released,Digital,high,DIG_04cf164c-d07d-49cf-a1b3-84bdbd79b5cb
http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,DigitalSkill,SAS language,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAS language.",knowledge,sector-specific,released,Digital,high,DIG_04f1b938-d4d4-4cb1-a863-982af76b9d93
http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,DigitalSkill,use an application-specific interface,Understand and use interfaces particular to an application or use case.,skill/competence,sector-specific,released,Digital,high,DIG_04fe962b-4017-4eb7-9139-7d69b6922bc9
http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,DigitalSkill,design electrical systems,"Draft sketches and design electrical systems, products, and components using Computer Aided Design (CAD) software and equipment. Draw panel arrangement layouts, electrical schematics, electrical wiring diagrams, and other assembly details.",skill/competence,cross-sector,released,Digital,high,DIG_05010f6c-0b40-4525-ac4a-057d46a2b6f4
http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,DigitalSkill,define firewall rules,Specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.,skill/competence,sector-specific,released,Digital,high,DIG_054f26ab-cfdc-4077-883c-1c4c9e9b310a
http://data.europa.eu/esco/skill/055ff233-6569-43db-9f95-a4b03dca97da,DigitalSkill,operate warehouse record systems,"Operate systems for recording product, packaging, and order information in specific formats and types of record.",skill/competence,sector-specific,released,Digital,high,DIG_055ff233-6569-43db-9f95-a4b03dca97da
http://data.europa.eu/esco/skill/05b70efb-6b80-4f04-9a25-67cd317daf37,DigitalSkill,CryEngine,"The game engine CryEngine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games.",knowledge,sector-specific,released,Digital,high,DIG_05b70efb-6b80-4f04-9a25-67cd317daf37
http://data.europa.eu/esco/skill/061f1c12-9811-46f7-ab3e-1d28367d6c73,DigitalSkill,use CAD for soles,"Digitise and scan the lasts. Work with files in various CAD systems. Produce 3D models of soles and create 2D computer aided designs. Grade and obtain the size series. Prepare technical specifications for manufacturing. Produce 2D and 3D computer aided engineering designs and technical drawings of moulds for vulcanised and injected soles. Export the files of the virtual models to 3D printers, CAM or CNC systems.",skill/competence,sector-specific,released,Digital,high,DIG_061f1c12-9811-46f7-ab3e-1d28367d6c73
http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,DigitalSkill,create 3D environments,"Develop a computer-generated 3D representation of a setting such as simulated environment, where the users interact.",skill/competence,sector-specific,released,Digital,high,DIG_0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,DigitalSkill,perform online data analysis,"Analyse online experiences and online data for purposes of understanding user behaviour, triggers of online attention, and other factors that could optimise webpage development and exposure.",skill/competence,cross-sector,released,Digital,high,DIG_062320e5-79d1-45e8-8b7e-5deeb53279a2
http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,DigitalSkill,manage IT security compliances,"Guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security.",skill/competence,sector-specific,released,Digital,high,DIG_06358891-8424-43c5-891e-d40f226bef40
http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,DigitalSkill,keywords in digital content,The digital tools to conduct keyword research. The information retrieval systems identify the content of a document guided by keywords and metadata.,knowledge,sector-specific,released,Digital,high,DIG_06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c
http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,DigitalSkill,domain name service,Naming database which maps internet domain names to Internet Protocol (IP) addresses. The Domain Name System allows internet users to utilise names such as website titles instead of remembering numeric IP addresses used by computers to locate a concrete website,knowledge,sector-specific,released,Digital,high,DIG_071233c4-ad2b-4f50-b79f-768d2231163e
http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,DigitalSkill,model medical devices,Model and simulate medical devices using technical design software.,skill/competence,sector-specific,released,Digital,high,DIG_071a4197-06b3-4226-b9a1-efd15913280a
http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,DigitalSkill,use experience map,"Examine all the interactions and touchpoints people have with a product, brand or service. Determine key variables such as duration and frequency of every touchpoint.",skill/competence,sector-specific,released,Digital,high,DIG_0737ad0a-75ac-4696-988b-565820577ac0
http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,DigitalSkill,captioning software,"The various software to create captions and subtitles in a file that is merged with the actual footage, such as Telestream and MovieCaptioners.",knowledge,occupation-specific,released,Digital,high,DIG_0764b28d-04ee-4e80-bf58-b737f02a63e0
http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,DigitalSkill,blockchain signature schemes,"Essential digital signature schemes include the RSA scheme, the El-Gamal scheme, Hash functions, Birthday Attacks, the Digital Signature Standard.",knowledge,sector-specific,released,Digital,high,DIG_07884056-a07a-40b7-bba3-1ceed61f529c
http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,DigitalSkill,normalise data,"Reduce data to their accurate core form (normal forms) in order to achieve such results as minimisation of dependency, elimination of redundancy, increase of consistency.",skill/competence,sector-specific,released,Digital,high,DIG_07889c08-7220-47c8-96f7-6068fbea00dc
http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,DigitalSkill,create prototype of user experience solutions,"Design and prepare mock-ups, prototypes and flows in order to test User Experience (UX) solutions or to collect feedback from users, customers, partners or stakeholders.",skill/competence,sector-specific,released,Digital,high,DIG_07dd856d-6141-48a7-a228-918f88494812
http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,DigitalSkill,apply system organisational policies,"Implement internal policies related to the development, internal and external usage of technological systems, such as software systems, network systems and telecommunications systems, in order to achieve a set of goals and targets regarding the efficient operations and growth of an organisation.",skill/competence,cross-sector,released,Digital,high,DIG_07e47d58-dd0e-4302-9e68-70a188e89065
http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,DigitalSkill,propose ICT solutions to business problems,"Suggest how to solve business issues, using ICT means, so that business processes are improved.",skill/competence,cross-sector,released,Digital,high,DIG_07e51c60-763a-4335-b4ec-70a15f66d328
http://data.europa.eu/esco/skill/07e6bc9f-9c98-44ae-a7a3-5266caa393e1,DigitalSkill,calculate costs of repair operations,Calculate material and labour costs of repair operations. Understand appropriate computer programmes.,skill/competence,sector-specific,released,Digital,high,DIG_07e6bc9f-9c98-44ae-a7a3-5266caa393e1
