uri:ID,:LABEL,preferredLabel,description,skillType,reuseLevel,status,collection,coverageLevel,code
http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,GreenSkill,train staff to reduce food waste,"Establish new trainings and staff development provisions to support staff knowledge in food waste prevention and food recycling practices. Ensure that staff understands methods of and tools for food recycling, e.g., separating waste.",skill/competence,sector-specific,released,Green,high,GRN_001d46db-035e-4b92-83a3-ed8771e0c123
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,GreenSkill,develop energy saving concepts,"Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials.",skill/competence,cross-sector,released,Green,high,GRN_0037c821-2898-4919-b96e-7ed1cd89554c
http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,GreenSkill,conduct research on flora,"Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function.",skill/competence,sector-specific,released,Green,high,GRN_0058526a-11e9-40a1-ab33-7c5ffdf5da05
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,GreenSkill,install heat pump,"Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump.",skill/competence,cross-sector,released,Green,high,GRN_00735755-adc6-4ea0-b034-b8caff339c9f
http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,GreenSkill,design biomass installations,"Design the biomass energy system. Determine construction boundaries such as needed space and weight. Calculate indicators such as capacity, flow, and temperatures. Make detailed descriptions and drawings of the design.",skill/competence,sector-specific,released,Green,high,GRN_0082c13b-5866-4542-bc4f-722a4ae9530e
http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,GreenSkill,inspect offshore constructions,Conduct regular inspections during and after the construction of offshore facilities such as oil platforms to ensure risk minimisation and compliance with regulations.,skill/competence,cross-sector,released,Green,high,GRN_013a64b9-5e74-4f7f-af5b-9ec76715238b
http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,GreenSkill,adopt ways to foster biodiversity and animal welfare,"Engage in behaviours that help maintaining stable ecosystems and combatting mass extinction, for example by making conscious dietary choices that support organic food production and animal welfare. ",skill/competence,transversal,released,Green,high,GRN_0171653e-c8e9-4c24-bb86-a4b6fe038f25
http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,GreenSkill,perform a feasibility study for building management systems,"Perform the evaluation and assessment of the potential of a building management system. Realise a standardised study to determine the energy saving contribution, costs and restrictions, and conduct research to support the process of decision making.",skill/competence,sector-specific,released,Green,high,GRN_01895f13-1989-4756-80d6-9b9ee19ddb32
http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,GreenSkill,remove contaminated materials,Remove materials and equipment which are contaminated with hazardous substances in order to protect the surroundings from further contamination and to treat or dispose of the contaminated materials.,skill/competence,sector-specific,released,Green,high,GRN_02619401-8e21-46e5-8f19-204747fd755d
http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,GreenSkill,follow procedures to control substances hazardous to health,"Adhere to the Control of Substances Hazardous to Health (COSHH) procedures for activities that involve hazardous substances, such as bacteria, allergens, waste oil, paint or brake fluids that result in illness or injury.",skill/competence,sector-specific,released,Green,high,GRN_02e235f4-a30a-412a-a06e-1c471ad28678
