uri:ID,:LABEL,preferredLabel,description,skillType,reuseLevel,status,collection,coverageLevel,isUnderutilized,code
http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,LanguageSkill,write Hungarian,Compose written texts in Hungarian.,skill/competence,transversal,released,Language,low,True,LANG_01f10952-cb59-4347-9aee-d4fbc51c870a
http://data.europa.eu/esco/skill/021c8a09-6b8d-4708-a5dd-17677e846640,LanguageSkill,understand spoken Luxembourgish,Comprehend orally expressed Luxembourgish.,knowledge,transversal,released,Language,low,True,LANG_021c8a09-6b8d-4708-a5dd-17677e846640
http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,LanguageSkill,understand written Korean,Read and comprehend written texts in Korean.,skill/competence,transversal,released,Language,low,True,LANG_02d68c2b-1722-4440-8e25-376650e123c8
http://data.europa.eu/esco/skill/037b5e5f-db3c-40cd-864e-5b9b9a3a080d,LanguageSkill,understand spoken Hungarian,Comprehend orally expressed Hungarian.,skill/competence,transversal,released,Language,low,True,LANG_037b5e5f-db3c-40cd-864e-5b9b9a3a080d
http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,LanguageSkill,understand spoken Welsh,Comprehend orally expressed ​Welsh.,skill/competence,transversal,released,Language,low,True,LANG_03a53283-d3ee-41c1-ab3e-eb806616440e
http://data.europa.eu/esco/skill/047218cf-3974-4148-86f8-31464253aa08,LanguageSkill,interact verbally in Bosnian,Communicate orally in ​Bosnian.,skill/competence,transversal,released,Language,low,True,LANG_047218cf-3974-4148-86f8-31464253aa08
http://data.europa.eu/esco/skill/049b5d37-aab3-4b6a-a505-bf254a434b5d,LanguageSkill,understand written Latvian,Read and comprehend written texts in Latvian.,skill/competence,transversal,released,Language,low,True,LANG_049b5d37-aab3-4b6a-a505-bf254a434b5d
http://data.europa.eu/esco/skill/049de1f6-34ec-46f9-a0b1-8fc6f0199413,LanguageSkill,write Finnish,Compose written texts in Finnish.,skill/competence,transversal,released,Language,low,True,LANG_049de1f6-34ec-46f9-a0b1-8fc6f0199413
http://data.europa.eu/esco/skill/04bd6e5b-9f81-4c3d-a81f-d7ac2c08dfd9,LanguageSkill,understand spoken Punjabi,Comprehend orally expressed Punjabi.,skill/competence,transversal,released,Language,low,True,LANG_04bd6e5b-9f81-4c3d-a81f-d7ac2c08dfd9
http://data.europa.eu/esco/skill/078a25a4-1ac2-4c83-b0ed-8f8573c4633a,LanguageSkill,interact verbally in Occitan,Communicate orally in ​Occitan.,skill/competence,transversal,released,Language,low,True,LANG_078a25a4-1ac2-4c83-b0ed-8f8573c4633a
http://data.europa.eu/esco/skill/0799a646-288c-4fcd-a6fd-d97a41c1bf5b,LanguageSkill,interact verbally in Czech,Communicate orally in Czech.,skill/competence,transversal,released,Language,low,True,LANG_0799a646-288c-4fcd-a6fd-d97a41c1bf5b
http://data.europa.eu/esco/skill/07cacd8e-6aaf-4cab-abeb-28319f454606,LanguageSkill,understand written Ukrainian,Read and comprehend written texts in Ukrainian.,skill/competence,transversal,released,Language,low,True,LANG_07cacd8e-6aaf-4cab-abeb-28319f454606
http://data.europa.eu/esco/skill/08759658-fffc-4951-bea0-1fb51d06eb89,LanguageSkill,understand written Spanish,Read and comprehend written texts in Spanish.,skill/competence,transversal,released,Language,low,True,LANG_08759658-fffc-4951-bea0-1fb51d06eb89
http://data.europa.eu/esco/skill/08ee9a78-5eb5-426c-b34e-9ef0e0f88cc5,LanguageSkill,understand written Armenian,Read and comprehend written texts in Armenian.,skill/competence,transversal,released,Language,low,True,LANG_08ee9a78-5eb5-426c-b34e-9ef0e0f88cc5
http://data.europa.eu/esco/skill/0a1e6554-1c6b-42c6-970b-8d9a307cdb5e,LanguageSkill,write Javanese,Compose written texts in Javanese.,skill/competence,transversal,released,Language,low,True,LANG_0a1e6554-1c6b-42c6-970b-8d9a307cdb5e
http://data.europa.eu/esco/skill/0a35de65-e51d-4862-a425-2f4dd5c4a982,LanguageSkill,write Bosnian,Compose written texts in Bosnian.,skill/competence,transversal,released,Language,low,True,LANG_0a35de65-e51d-4862-a425-2f4dd5c4a982
http://data.europa.eu/esco/skill/0b8a3319-54be-4b35-8425-c31d1f42f186,LanguageSkill,write Sanskrit,Compose written texts in Sanskrit.,skill/competence,transversal,released,Language,low,True,LANG_0b8a3319-54be-4b35-8425-c31d1f42f186
http://data.europa.eu/esco/skill/0dc4ee3d-3e51-4765-bc1c-996707beeea1,LanguageSkill,understand written Sardinian,Read and comprehend written texts in ​Sardinian.,skill/competence,transversal,released,Language,low,True,LANG_0dc4ee3d-3e51-4765-bc1c-996707beeea1
http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,LanguageSkill,Finnish,The Finnish language. Finnish is an official and working language of the EU.,knowledge,transversal,released,Language,low,True,LANG_0e3493f4-0cad-4fbc-8e02-025f169b8114
http://data.europa.eu/esco/skill/0e91219a-e74a-46e6-bcf9-9e14da031343,LanguageSkill,write Ukrainian,Compose written texts in Ukrainian.,skill/competence,transversal,released,Language,low,True,LANG_0e91219a-e74a-46e6-bcf9-9e14da031343
http://data.europa.eu/esco/skill/0ee9e985-0ee5-4a73-8a12-78b53b261bb2,LanguageSkill,interact verbally in English,Communicate orally  in English.,skill/competence,transversal,released,Language,low,True,LANG_0ee9e985-0ee5-4a73-8a12-78b53b261bb2
http://data.europa.eu/esco/skill/0efbd0a0-0272-445d-90a8-ebb2a9b5058b,LanguageSkill,understand spoken Bosnian,Comprehend orally expressed ​Bosnian.,skill/competence,transversal,released,Language,low,True,LANG_0efbd0a0-0272-445d-90a8-ebb2a9b5058b
http://data.europa.eu/esco/skill/0f58a178-1382-4df2-95e8-2b3f90e80e24,LanguageSkill,interact verbally in Spanish,Communicate orally in Spanish.,skill/competence,transversal,released,Language,low,True,LANG_0f58a178-1382-4df2-95e8-2b3f90e80e24
http://data.europa.eu/esco/skill/0f775d62-d543-40dd-aaaf-56195c2bfd80,LanguageSkill,understand spoken Persian,Comprehend orally expressed Persian.,skill/competence,transversal,released,Language,low,True,LANG_0f775d62-d543-40dd-aaaf-56195c2bfd80
http://data.europa.eu/esco/skill/10323914-77bf-41f2-b081-42b6e972d08d,LanguageSkill,understand written Icelandic,Read and comprehend written texts in Icelandic.,skill/competence,transversal,released,Language,low,True,LANG_10323914-77bf-41f2-b081-42b6e972d08d
http://data.europa.eu/esco/skill/10b306ae-6a1b-4e62-b06d-8702cfc6814c,LanguageSkill,understand written Tamil,Read and comprehend written texts in Tamil.,skill/competence,transversal,released,Language,low,True,LANG_10b306ae-6a1b-4e62-b06d-8702cfc6814c
http://data.europa.eu/esco/skill/1299a59c-8b90-4838-8bef-0065cdfc8bdf,LanguageSkill,write Punjabi,Compose written texts in Punjabi.,skill/competence,transversal,released,Language,low,True,LANG_1299a59c-8b90-4838-8bef-0065cdfc8bdf
http://data.europa.eu/esco/skill/13fc11d0-d35f-4a2c-9115-b0e2ed372523,LanguageSkill,understand written Basque,Read and comprehend written texts in ​Basque.,skill/competence,transversal,released,Language,low,True,LANG_13fc11d0-d35f-4a2c-9115-b0e2ed372523
http://data.europa.eu/esco/skill/1408a267-21e1-479e-bd40-197fa14b3024,LanguageSkill,understand spoken Estonian,Comprehend orally expressed Estonian.,skill/competence,transversal,released,Language,low,True,LANG_1408a267-21e1-479e-bd40-197fa14b3024
http://data.europa.eu/esco/skill/1495fc80-05c1-4f5b-82ae-9abc612364cc,LanguageSkill,understand spoken Montenegrin,Comprehend orally expressed Montenegrin.,skill/competence,transversal,released,Language,low,True,LANG_1495fc80-05c1-4f5b-82ae-9abc612364cc
http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,LanguageSkill,Spanish,The Spanish language. Spanish is an official and working language of the EU.,knowledge,transversal,released,Language,low,True,LANG_14ee9f76-3524-43d5-8a1a-5ba8283f8bd7
http://data.europa.eu/esco/skill/14fc9b06-bf35-4b35-8f07-c53856ef18bc,LanguageSkill,write Russian,Compose written texts in Russian.,skill/competence,transversal,released,Language,low,True,LANG_14fc9b06-bf35-4b35-8f07-c53856ef18bc
