uri:ID,:LABEL,preferredLabel,description,skillType,reuseLevel,status,collection,coverageLevel,code
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,ResearchSkill,draft scientific or academic papers and technical documentation,"Draft and edit scientific, academic or technical texts on different subjects.",skill/competence,cross-sector,released,Research,medium,RES_00b9a3aa-7070-4bb5-8020-f228a97cf42f
http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,ResearchSkill,manage research data,Produce and analyse scientific data originating from qualitative and quantitative research methods. Store and maintain the data in research databases. Support the re-use of scientific data and be familiar with open data management principles.,skill/competence,cross-sector,released,Research,medium,RES_08b04e53-ed25-41a2-9f90-0b9cd939ba3d
http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,ResearchSkill,interact professionally in research and professional environments,"Show consideration to others as well as collegiality. Listen, give and receive feedback and respond perceptively to others, also involving staff supervision and leadership in a professional setting.",skill/competence,cross-sector,released,Research,medium,RES_20a8fe89-d4eb-4698-8521-8881c13377e0
http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,ResearchSkill,disseminate results to the scientific community,"Publicly disclose scientific results by any appropriate means, including conferences, workshops, colloquia and scientific publications.",skill/competence,cross-sector,released,Research,medium,RES_2b1e2927-3542-48da-9063-02925e7562c1
http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,ResearchSkill,operate open source software,"Operate Open Source software, knowing the main Open Source models, licensing schemes, and the coding practices commonly adopted in the production of Open Source software.
",skill/competence,sector-specific,released,Research,medium,RES_2b34764d-637c-48f5-aa70-31e15c965db6
http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,ResearchSkill,speak different languages,Master foreign languages to be able to communicate in one or more foreign languages.,skill/competence,cross-sector,released,Research,medium,RES_2de4572a-4724-4f76-afc2-72a568a264ac
http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,ResearchSkill,evaluate research activities,"Review proposals, progress, impact and outcomes of peer researchers, including through open peer review.
",skill/competence,cross-sector,released,Research,medium,RES_39f67488-cfd3-4370-8d7e-da98163102d9
http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,ResearchSkill,demonstrate disciplinary expertise,"Demonstrate deep knowledge and complex understanding of a specific research area, including responsible research, research ethics and scientific integrity principles, privacy and GDPR requirements, related to research activities within a specific discipline.",skill/competence,cross-sector,released,Research,medium,RES_4134622c-c3fb-4a41-beb6-6d58ba5107db
http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,ResearchSkill,think analytically,"Produce thoughts using logic and reasoning in order to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.",skill/competence,transversal,released,Research,medium,RES_4707da90-9cfc-46ca-8de0-38a0b7bfb137
http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,ResearchSkill,teach in academic or vocational contexts,"Instruct students in the theory and practice of academic or vocational subjects, transferring the content of own and others' research activities.",skill/competence,cross-sector,released,Research,medium,RES_4cd85845-f31c-4306-994d-e12d45114d83
http://data.europa.eu/esco/skill/4d39b27a-b34f-4c89-8d46-df844d42f728,ResearchSkill,increase the impact of science on policy and society ,"Influence evidence-informed policy and decision making by providing scientific input to and maintaining professional relationships with policymakers and other stakeholders. 
",skill/competence,cross-sector,released,Research,medium,RES_4d39b27a-b34f-4c89-8d46-df844d42f728
http://data.europa.eu/esco/skill/4f5c1208-62fd-4e5a-a51e-306c06947e11,ResearchSkill,manage findable accessible interoperable and reusable data,"Produce, describe, store, preserve and (re) use scientific data based on FAIR (Findable, Accessible, Interoperable, and Reusable) principles, making data as open as possible, and as closed as necessary.",skill/competence,cross-sector,released,Research,medium,RES_4f5c1208-62fd-4e5a-a51e-306c06947e11
http://data.europa.eu/esco/skill/4fabca9a-7435-4f33-b1da-3cdb00340fdc,ResearchSkill,perform scientific research,"Gain, correct or improve knowledge about phenomena by using scientific methods and techniques, based on empirical or measurable observations.
",skill/competence,cross-sector,released,Research,medium,RES_4fabca9a-7435-4f33-b1da-3cdb00340fdc
http://data.europa.eu/esco/skill/518dc04d-092d-4fa1-bd82-88b7a9278ef7,ResearchSkill,manage intellectual property rights,Deal with the private legal rights that protect the products of the intellect from unlawful infringement.,skill/competence,sector-specific,released,Research,medium,RES_518dc04d-092d-4fa1-bd82-88b7a9278ef7
http://data.europa.eu/esco/skill/5f0082ab-2131-49b5-94d6-a1821daf57d6,ResearchSkill,apply for research funding,Identify key relevant funding sources and prepare research grant application in order to obtain funds and grants. Write research proposals.,skill/competence,cross-sector,released,Research,medium,RES_5f0082ab-2131-49b5-94d6-a1821daf57d6
