uri:ID,:LABEL,preferredLabel,description,skillType,reuseLevel,status,collection,coverageLevel,isUnderutilized,code
http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,TransversalSkill,show initiative,"Be proactive and take the first step in an action without waiting for what others say or do.
",skill/competence,transversal,released,Transversal,low,True,TRV_001115fb-569f-4ee6-8381-c6807ef2527f
http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,TransversalSkill,adopt ways to foster biodiversity and animal welfare,"Engage in behaviours that help maintaining stable ecosystems and combatting mass extinction, for example by making conscious dietary choices that support organic food production and animal welfare. ",skill/competence,transversal,released,Transversal,low,True,TRV_0171653e-c8e9-4c24-bb86-a4b6fe038f25
http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,TransversalSkill,advise others,Offer suggestions about the best course of action.,skill/competence,transversal,released,Transversal,low,True,TRV_045f71e6-0699-4169-8a54-9c6b96f3174d
http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,TransversalSkill,accept criticism and guidance,"Handle negative feedback from others and react openly to criticism, trying to identify in it potential areas for improvement. ",skill/competence,transversal,released,Transversal,low,True,TRV_05aa7c09-46e7-433f-a81b-92841f4551e7
http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,TransversalSkill,"apply knowledge of philosophy, ethics and religion","Discover and develop an individual perspective about one's roles, meaning and purpose, including what it means to live, to die and to be human. ",skill/competence,transversal,released,Transversal,low,True,TRV_0b709c64-a57a-4976-86bd-34d2cf34fa4f
http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,TransversalSkill,adopt ways to reduce pollution,"Apply measures to reduce air, noise, light, water or environmental pollution, for example by using public transports, not leaving any waste in the natural environment, and reducing unnecessary light and noise emissions, particularly during the night.  ",skill/competence,transversal,released,Transversal,low,True,TRV_0d75a128-bd88-4c1b-b70d-8e963aeb490c
http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,TransversalSkill,meet commitments,"Perform one's tasks in a self-disciplined, reliable and goal-oriented manner.",skill/competence,transversal,released,Transversal,low,True,TRV_113b4428-0a31-4199-8496-070af7854b91
http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,TransversalSkill,adjust to physical demands,"Demonstrate the capacity to endure high physical stress from work or sport. It includes kneeling, standing or running for a long time or working under difficult meteorological conditions such as strong heat, cold and rain. ",skill/competence,transversal,released,Transversal,low,True,TRV_13b4a3d2-abdf-4442-8e52-d7464a58ecbc
http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,TransversalSkill,assume responsibility,"Accept responsibility and accountability for one's own professional decisions and actions, or those delegated to others.",skill/competence,transversal,released,Transversal,low,True,TRV_199f7919-5114-41b6-b6a5-41e0e4896ec1
http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,TransversalSkill,show determination,"Show commitment to do something that is difficult and requires hard work. Display great effort driven by an interest or enjoyment in work itself, in the absence of external pressures.",skill/competence,transversal,released,Transversal,low,True,TRV_19a64e91-bfe3-4c48-9225-3bb1229b12f0
