occupationUri,relationType,skillType,skillUri
http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,optional,knowledge,http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871
http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,optional,skill/competence,http://data.europa.eu/esco/skill/ee8fee1a-75c1-43fb-b08d-779929f99249
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,essential,knowledge,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272
http://data.europa.eu/esco/occupation/0ea36a48-a27d-4515-b61f-3cab395cf60f,essential,knowledge,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08
http://data.europa.eu/esco/occupation/1313aeea-63a9-4b4d-82d1-dbe00ff9ed10,optional,knowledge,http://data.europa.eu/esco/skill/9c652a9b-a773-4afa-becf-1186f9861fb9
http://data.europa.eu/esco/occupation/158965f1-bd83-441c-bca8-1975b74dedc5,essential,skill/competence,http://data.europa.eu/esco/skill/526cfdc3-970e-40c5-b54c-bbd9b6445dcc
http://data.europa.eu/esco/occupation/1a7fb683-6544-4442-b54c-ec72ef468ff0,essential,skill/competence,http://data.europa.eu/esco/skill/2d3552aa-08da-4aad-9942-675be826a212
http://data.europa.eu/esco/occupation/2412bbb1-29ca-4e17-a2b8-70694f0cb14f,essential,skill/competence,http://data.europa.eu/esco/skill/fddc5d4f-0dfe-42fb-a1c0-3ad827db2216
http://data.europa.eu/esco/occupation/2a914d26-42aa-46b5-acf3-097d51ba4617,essential,skill/competence,http://data.europa.eu/esco/skill/8981d38b-fbc1-4ebe-9300-2357fb71913a
http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,essential,knowledge,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08
http://data.europa.eu/esco/occupation/5c082067-ea18-4ccb-8c43-e70b18ad8120,optional,knowledge,http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871
http://data.europa.eu/esco/occupation/5c082067-ea18-4ccb-8c43-e70b18ad8120,optional,skill/competence,http://data.europa.eu/esco/skill/6f728d63-5c45-40b3-8bfd-e17c5dba28ad
http://data.europa.eu/esco/occupation/5c082067-ea18-4ccb-8c43-e70b18ad8120,optional,skill/competence,http://data.europa.eu/esco/skill/ee8fee1a-75c1-43fb-b08d-779929f99249
http://data.europa.eu/esco/occupation/5c082067-ea18-4ccb-8c43-e70b18ad8120,optional,skill/competence,http://data.europa.eu/esco/skill/f31ca02e-5ad1-41dc-aed2-5a9a6db96bd2
http://data.europa.eu/esco/occupation/6188bf20-5cdb-4702-af72-2cb67ec39810,essential,knowledge,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08
http://data.europa.eu/esco/occupation/6a6ce738-b049-4521-b402-8e1f346c7eca,essential,skill/competence,http://data.europa.eu/esco/skill/ee4a78d4-af84-42df-8ca0-039c0999e87c
http://data.europa.eu/esco/occupation/6a6ce738-b049-4521-b402-8e1f346c7eca,optional,skill/competence,http://data.europa.eu/esco/skill/28ca596e-5e2f-4149-a28d-42d2c4c20227
http://data.europa.eu/esco/occupation/776837b1-6f6b-4014-8330-d56918303e93,essential,skill/competence,http://data.europa.eu/esco/skill/ac846964-c171-4d43-8834-cc83ff96f582
http://data.europa.eu/esco/occupation/7f0fe7d3-54c6-41e9-88ba-9d4f0f1a46b4,essential,knowledge,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08
http://data.europa.eu/esco/occupation/87580fa5-39d2-4b7e-9274-b744e684f17c,optional,skill/competence,http://data.europa.eu/esco/skill/05f05855-acac-4366-a6ee-42f0bebe3780
http://data.europa.eu/esco/occupation/976cbfcc-8958-4800-a435-71d15405a42a,essential,knowledge,http://data.europa.eu/esco/skill/4e3db6d7-88b8-492d-89e5-a93d01c3e369
http://data.europa.eu/esco/occupation/976cbfcc-8958-4800-a435-71d15405a42a,essential,skill/competence,http://data.europa.eu/esco/skill/28ca596e-5e2f-4149-a28d-42d2c4c20227
http://data.europa.eu/esco/occupation/bda98f02-4f92-4015-a0c8-b86b8abc711a,essential,knowledge,http://data.europa.eu/esco/skill/6469f571-ba92-4528-8b9f-ad9faa51e42e
http://data.europa.eu/esco/occupation/c9d89e09-d57f-4980-9164-880e60711e97,optional,skill/competence,http://data.europa.eu/esco/skill/28ca596e-5e2f-4149-a28d-42d2c4c20227
http://data.europa.eu/esco/occupation/e3b08984-19fe-4d51-a1b0-990676fc7234,essential,knowledge,http://data.europa.eu/esco/skill/397c14d5-42e0-4c85-8376-4c70b5a90bcf
http://data.europa.eu/esco/occupation/e9f0b7ae-c848-464e-af9d-55eb87a592e0,optional,skill/competence,http://data.europa.eu/esco/skill/ca192ad9-39d9-49aa-8e87-b174906470b3
