conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/17e39591-7137-4960-94c8-8169f7a5d67b,3152,officer of the watch,"mid-level watch officer
watchman
officer of the navigational watch
watch supervisor
watch operations specialist
watch officer
navigation officer
maritime operations officer
officers of the engineering watch
captain of the watch
watch commander
watchkeeper",,released,2024-01-10T10:55:17.287Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Officers of the watch lead the navigation of the operational level. Handle cargo and stowage tasks as well as control the operation of the ship. At the operational level, they take care for persons on board.",3152.6
Occupation,http://data.europa.eu/esco/occupation/e8fca903-6590-48a8-8902-094bb41ee90c,2149,autonomous driving specialist,"highly automated drive engineer
autonomous driving engineer
ADF testing and validation engineer
AV engineer
autonomous vehicle engineer
C-V2X specialist
connected car specialist
autonomous vehicle specialist
ADAS testing and validation engineer
self-driving car engineer
autonomous car specialist
connected vehicle specialist",,released,2024-01-29T15:59:20.364Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Autonomous driving specialists design and oversee the operation of an autonomous vehicle. They collect data on systems performance, conduct vehicle testing and analyse test data. Autonomous driving specialists are aware of different technologies employed in self-driving cars, automotive systems and automotive technologies.",2149.3
Occupation,http://data.europa.eu/esco/occupation/0ab77768-9031-4ccc-9ab8-1f73cbb36bc7,8143,tissue paper perforating and rewinding operator,"tissue paper perforating and rewinding specialist
tissue paper perforating and rewinding technician
tissue paper perforating and rewinding worker
tissue paper perforating and rewinding machine specialist
tissue paper perforating and rewinding machine operator
tissue paper perforating and rewinding machine technician
toilet paper machine technician
tissue paper perforating and rewinding operative
toilet paper machine specialist
toilet paper machine operator",,released,2024-01-23T10:11:07.213Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Tissue paper perforating and rewinding operators tend a machine that takes in tissue paper, perforates it, and rolls it up to create various types of sanitary paper.",8143.7
Occupation,http://data.europa.eu/esco/occupation/2a914d26-42aa-46b5-acf3-097d51ba4617,2142,construction engineer,"construction project engineer
construction design engineer
buildng construction engineer
site engineer
building engineer
engineering support manager",,released,2024-01-26T11:34:25.14Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Construction engineers interpret building designs and add technical specifications to construction projects. They integrate engineering principles into the designs to ensure that structures are safe and resistant. They work together with architects and engineers to transform design ideas into executable plans.,2142.1.2
Occupation,http://data.europa.eu/esco/occupation/4c313f2a-704e-4d3c-a7c2-98e1b93c9e94,1324,import export manager in office furniture,"graduate import export manager in office furniture
senior export manager in office furniture
trainee import export manager in office furniture
senior import manager in office furniture
graduate export manager in office furniture
assistant import export manager in office furniture
trainee export manager in office furniture
trainee import manager in office furniture
assistant export manager in office furniture
international trade compliance manager in office furniture
international trade manager in office furniture
graduate import manager in office furniture
assistant import manager in office furniture
customs compliance manager in office furniture
senior import export manager in office furniture",,released,2024-01-26T11:37:43.148Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Import export managers in office furniture install and maintain procedures for cross-border business, coordinating internal and external parties.",1324.3.2.25
Occupation,http://data.europa.eu/esco/occupation/657eeac9-5bb9-449d-a353-aa7d5f47e2b5,3116,colour sampling technician,"leather dyer
color kitchen worker
colour sampling technicians
pelt dyer
dyer
colour kitchen technician
colour kitchen worker
tanning solution preparer",,released,2024-01-26T15:03:09.688Z,http://data.europa.eu/esco/regulated-professions/unregulated,"Includes people performing activities in colour kitchen, spraying and coating lines.",,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Colour sampling technicians prepare recipes of colours and dyeing mixes. They ensure consistency in colour while using materials from different sources.,3116.1.3
Occupation,http://data.europa.eu/esco/occupation/7f0fe7d3-54c6-41e9-88ba-9d4f0f1a46b4,2152,microsystem engineer,"specialist in microelectromechanical systems
microsystem engineering adviser
microsystem technology engineering consultant
engineer in microsystems
microsystem technology engineering specialist
micro-system engineer
micro systems engineer
microsystem engineering consultant
micro system engineer
microsystem technology engineer
microsystem technology engineering expert
advanced MEMS engineer
microelectromechanical systems engineer
microsystem engineering specialist
microsystem technology engineering adviser
micro-systems engineer
engineer in micro-systems
microsystems engineer
senior MEMS engineer
microsystem engineering expert
engineer of microsystems
MEMS engineer",,released,2024-01-26T15:39:39.48Z,http://data.europa.eu/esco/regulated-professions/unregulated,"Excludes <a resource=""http://data.europa.eu/esco/occupation/8c0f59c9-9a47-42e7-8287-aab19df4e6ab"" typeOf=""http://data.europa.eu/esco/model#Occupation"" href=""http://data.europa.eu/esco/occupation/8c0f59c9-9a47-42e7-8287-aab19df4e6ab""><span property=""http://www.w3.org/2000/01/rdf-schema#label"" xml:lang=""en"">microelectronics engineer</span></a>. 
 Includes people using materials such as quartz, plastics and ceramics.",,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/8ae4b9f3-507e-4057-a145-2f96f0132613","Microsystem engineers research, design, develop, and supervise the production of microelectromechanical systems (MEMS), which can be integrated in mechanical, optical, acoustic, and electronic products.",2152.1.10
Occupation,http://data.europa.eu/esco/occupation/87580fa5-39d2-4b7e-9274-b744e684f17c,3123,carpenter supervisor,"joinery shop supervisor
joiner supervisor
joinery supervisor
carpentry foreman
carpentry overseer
carpentry supervisor
timber workshop supervisor
framer supervisor
supervisor of carpentry operations",,released,2024-01-24T16:00:19.414Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Carpenter supervisors monitor carpentry operations in construction. They assign tasks and take quick decisions to resolve problems. They pass their skills on to apprentice carpenters.,3123.1.3
Occupation,http://data.europa.eu/esco/occupation/776837b1-6f6b-4014-8330-d56918303e93,3422,snowboard instructor,"snowboard coach
snowboard and ski instructor
ski and snowboard instructor
ski & snowboard instructor
snowboard teacher
snowboard trainer
snowboard & ski instructor",,released,2024-01-26T11:33:14.193Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Snowboard instructors teach groups or individuals how to ride a snowboard. They instruct students of all ages and skill level individually or in groups. Snowboard instructors teach basic and advanced techniques of snowboarding by demonstrating exercises and giving feedback to students. They give advice on safety and on snowboarding equipment.,3422.4.5
Occupation,http://data.europa.eu/esco/occupation/39e06c20-d262-44f9-a6a8-a0f3ba9e887c,8131,soap maker,"soapmaker
soap boiler
soap factory operator
maker of soap
soap and cosmetics maker
artisan soap maker",,released,2024-02-02T09:05:06.323Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Soap makers operate equipments and mixers that produce soap, making sure the end product is produced according to specified formula.",8131.19
Occupation,http://data.europa.eu/esco/occupation/d7e663b2-f042-47d8-9fda-b5b8ba30ca04,2144,aerospace engineer,"aeronautical engineer
aerospace engineering expert
aerospace project engineer
missile design specialist
aerospace development engineer
missile designer
aerostructure engineer
aerospace test engineer
aerospace engineering consultant
aerostructures engineer
vehicle system engineer
astronautical engineer
spacecraft engineer
aerospace design engineer
aerospace weapons engineer
aerospace engineering specialist
avionics engineer
missile design expert
aerospace engineering adviser
aerospace engineers",,released,2023-07-05T15:06:15.801Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Aerospace engineers develop, test and oversee the manufacture of flight vehicles such as aircrafts, missiles, and spacecrafts. The field of engineering they are active in, can be divided into two branches: aeronautical engineering and astronautical engineering.",2144.1.1
Occupation,http://data.europa.eu/esco/occupation/e74513c3-8ba8-462f-978c-0450522f4427,2310,chemistry lecturer,"chemical science teacher
chemical science docent
chemical science instructor
chemistry instructor
lecturer in chemistry
university lecturer in chemistry
chemical science lector
senior lecturer in chemistry
chemical science lecturer
chemistry docent
professor of chemistry
specialist lecturer in chemistry
higher education chemistry teacher
university chemistry lecturer
chemistry professor
chemical sciences lector
chemical science professor
university chemistry teacher
chemical sciences lecturer
chemistry lector
instructor in chemistry",,released,2024-01-25T10:45:29.856Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/8ae4b9f3-507e-4057-a145-2f96f0132613","Chemistry lecturers are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, chemistry, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants 
for the preparation of lectures and of exams, for leading laboratory practices, grading papers and for leading review and feedback sessions for the students. They also conduct academic research in their field of chemistry, publish their findings and liaise with other university colleagues.",2310.1.8
Occupation,http://data.europa.eu/esco/occupation/bda98f02-4f92-4015-a0c8-b86b8abc711a,8153,clothing sample machinist,"sample clothing sewer
sample sewing machinist
sample garment machinist
sample sewer
garment sample machinist",,released,2024-01-26T15:03:49.448Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Clothing sample machinists create the first made-up sample of a garment design. They make decisions regarding the makeup of garments taking into consideration bulk production to ensure sealing samples are ready on time. They press finished garments and make quality control checks. ,8153.1.2
Occupation,http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,2529,ICT security administrator,"system security administrator
information security administrator
network security administrator
ICT security administrators
IT security administrator
CISO",,released,2024-01-26T09:53:59.172Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","ICT security administrators plan and carry out security measures to protect information and data from unauthorised access, deliberate attack, theft and corruption.",2529.6
