conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT,hiddenLabels,modifiedDate,scopeNote,definition,inScheme
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272,operating systems,released,knowledge,sector-specific,,"The features, restrictions, architectures and other characteristics of operating systems such Linux, Windows, MacOS, etc.",http://data.europa.eu/esco/isced-f/0613,software and applications development and analysis,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/44a117a9-4443-43a4-b037-23c716af671e,video-games trends,released,knowledge,cross-sector,video-game trends | video-games trend | video game leanings | video game movements | video game drifts | video game directions,Latest developments in the video-games industry.,http://data.europa.eu/esco/skill/e09d599b-83ab-4e8f-a8b7-29dcf3be1043 | http://data.europa.eu/esco/isced-f/0211,toys and games trends | audio-visual techniques and media production,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c95c29fe-3971-46b7-80e9-1f7e75ba99b3,use specific data analysis software,released,skill/competence,occupation-specific,conduct data analysis using particular software | perform data analysis using specific software | utilise specific data analysis software | undertake data analysis through use of specific software | use specific software for data analysis | utilise specific software for data analysis | conduct data analysis activities utilising specific software | utilise particular data analysis software | use particular data analysis software | carry out data analysis using specific software,"Use specific software for data analysis, including statistics, spreadsheets, and databases. Explore possibilities in order to make reports to managers, superiors, or clients.",http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"perform data analysis | managing, gathering and storing digital data",,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/545c80e8-7ab2-42fe-af64-242211e94709,analyse network configuration and performance,released,skill/competence,sector-specific,evaluate network setup and efficiency | assess network structure | examine network configuration and effectiveness | assess network setup and performance | analyse performance characteristics of ICT networks,"Analyse essential network data (e.g., router configuration files, routing protocols), network traffic capacity and performance characteristics of ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data.",http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86 | http://data.europa.eu/esco/skill/fbbcb9ab-4b95-4e57-a756-30d08b7da7a5,accessing and analysing digital data | maintain ICT system,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f0ff6f10-cbb4-44c0-acd5-ed17046b1396,install signal repeaters,released,skill/competence,sector-specific,install amplifiers and repeaters,Set up and configure devices which enhance strength of signal of a communication channel to enable proper reception and reproduction in further places.,http://data.europa.eu/esco/skill/a7065828-10aa-4aba-b7d4-f23a30df5060,"installing and repairing electrical, electronic and precision equipment",,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a9dc215e-4e26-4ac0-b1e8-a721a88af813,execute conversion testing,released,skill/competence,occupation-specific,execute a conversion test | conversion testing execution | carry out  conversion testing | undertake  conversion testing | enact  conversion testing | achieve  conversion testing | executing conversion testing,"Plan, execute and measure conversion tests and experiments to test the possibility to convert one data format  into another.",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20 | http://data.europa.eu/esco/skill/913e7e83-b8f8-4574-b1ca-1b38f3fd974a,setting up computer systems | execute software tests,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3325729c-96db-4217-a9ca-4564cc1f909b,use polygonal modelling,released,skill/competence,occupation-specific,employ polygon-based modelling | apply polygonal modelling | represent 3D polygonal models,Represent 3D models by using line segments to connect vertices in order to create polygonal mesh on surfaces.,http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,using computer aided design and drawing tools,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/abdc7ac8-151f-40c6-bc1a-1e9b4b073290,augmented reality,released,knowledge,cross-sector,AR creation process | AR | augmented reality creation process | augmented reality techniques | AR techniques,"The process of adding diverse digital content (such as images, 3D objects, etc) on surfaces that exist in the real world. The user can interact in real-time with the technology by using devices such as mobile phones.",http://data.europa.eu/esco/isced-f/0619,information and communication technologies not elsewhere classified,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de,data warehouse,released,knowledge,occupation-specific,,The data storage system that analyses and reports on data such as a data mart.,http://data.europa.eu/esco/isced-f/0612,database and network design and administration,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6f728d63-5c45-40b3-8bfd-e17c5dba28ad,tend CNC grinding machine,released,skill/competence,cross-sector,take care of CNC grinding machine | take care of Computer controlled grinder | guard CNC grinding machine | watch over CNC grinding machine | oversee Computer controlled grinder | tend computer numerical controlled grinding machines | watch over Computer controlled grinder | oversee CNC grinding machine | guard Computer controlled grinder,"Tend a computer numerical controlled (CNC) grinding machine designed for manufacturing processes on metal, wooden, plastic materials and others, monitor and operate it, according to regulations.",http://data.europa.eu/esco/skill/494b8057-daf5-46a0-b33b-416e0115c30a,using digital tools to control machinery,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5be3d306-6cf1-4b49-aa1d-01651dd4ba4c,object-oriented modelling,released,knowledge,sector-specific,object-oriented paradigm | knowledge of object-oriented modelling | object-oriented modeling,"The object-oriented paradigm, which is based on classes, objects, methods and interfaces and their application in software design and analysis, programming organisation and techniques.",http://data.europa.eu/esco/isced-f/0613,software and applications development and analysis,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ee8fee1a-75c1-43fb-b08d-779929f99249,apply control process statistical methods,released,skill/competence,cross-sector,apply control processing statistical method | utilise control process statistical methods | employ control process statistical methods | apply a control process statistical methodology | apply control process statistical methodology | implement control process statistical methods | administer control process statistical methods,Apply statistical methods from Design of Experiments (DOE) and Statistical Process Control (SPC) in order to control manufacturing processes.,http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06 | http://data.europa.eu/esco/skill/382c11ed-20d5-4ae7-b60e-15fec527fa6c,analysing business operations | apply statistical analysis techniques,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,Common Lisp,released,knowledge,sector-specific,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Common Lisp.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,software and applications development and analysis | computer programming,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/094ef6aa-844f-44ce-8456-fdc49276bf58,digital printing,released,knowledge,sector-specific,digital printings | electronic printing | digital printing | plotter,"The technique that allows printing a digital-based image directly onto a variety of materials, mostly using inkjet or laser printer.",http://data.europa.eu/esco/isced-f/0211,audio-visual techniques and media production,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/30d926ba-1615-417c-a799-e24a3ea239b9,operate two-way radio systems,released,skill/competence,sector-specific,,Use radios that can receive and transmit sound signals in order to communicate with similar radios on the same frequency such as mobile phones and walkie talkies.,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe | http://data.europa.eu/esco/skill/3007c147-5c93-47a8-be0a-378a040c9fa9 | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,operate radio equipment | operate radio navigation instruments | operating communications equipment,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4a466c62-db7d-4905-9a41-f23214810acb,GIMP (graphics editor software),released,knowledge,sector-specific,GIMP | GNU Image Manipulation Program | GIMP for graphics composition | GIMP for digital editing | GIMP software,The computer program GIMP is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by The GIMP Development Team.,http://data.europa.eu/esco/skill/a71577b2-7550-4222-88ee-dcbd2d881516 | http://data.europa.eu/esco/isced-f/0611,graphics editor software | computer use,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/91aade3a-9427-4e80-998b-29492dcb9ffd,use reservoir surveillance,released,skill/competence,sector-specific,monitor well and reservoir | monitoring well and reservoir | using reservoir surveillance | using of reservoir surveillance | use of reservoir surveillance | well and reservoir monitoring | reservoir surveillance use | monitoring of well and reservoir,Understand and operate well and reservoir surveillance system and remote sensing technology; monitor the reservoir level and decide on engineering interventions if necessary.,http://data.europa.eu/esco/skill/15fa3879-ac0e-46e6-ae36-609bae9c19c3,monitoring operational activities,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/61c567d0-e01c-4f5c-9420-5926298f5099,select recording source,released,skill/competence,occupation-specific,pick recording source | selecting recording source | select recording sources | choose recording source,Select the source from which programs will be recorded such as satellite or studio.,http://data.europa.eu/esco/skill/8ddcb295-707e-459c-ba6a-66ffb37835c5,operating audio-visual equipment,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3140d979-2d6a-4c10-add9-f7091103829f,create concept of digital game,released,skill/competence,occupation-specific,,"Develop and communicate every aspect of overall game vision. Communicate and collaborate with technical crew, artistic and design teams to implement the game vision.",http://data.europa.eu/esco/skill/f08e2bd6-0366-4948-a670-1f03f130126f | http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41 | http://data.europa.eu/esco/skill/ab99d9a7-62eb-407b-92f2-bf7992a82004,create new concepts | think creatively | creating artistic designs or performances,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,electronics,released,knowledge,cross-sector,characteristics of electronic equipment | aspects of electronics | principles of electronic systems | electronic devices | features of electronics | functions of electronic systems | characteristics of electronic systems | electronic components | functioning of electronics | electronic equipment | electronic systems | electronic apparatus,"The functioning of electronic circuit boards, processors, chips, and computer hardware and software, including programming and applications. ",http://data.europa.eu/esco/isced-f/0714,electronics and automation,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a2358129-ba05-49bb-914f-03420a8be102,understand written Hebrew,released,skill/competence,transversal,read Hebrew | make sense of written Hebrew | understanding written Hebrew | understand Hebrew writing | comprehend written Hebrew | interpret written Hebrew,Read and comprehend written texts in Hebrew.,http://data.europa.eu/esco/skill/8a45f04a-cd28-4ac1-8e8b-ecfd21be0b18,Hebrew,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18e55722-e209-49a4-9f2c-ff0a789b3a68,interact verbally in Tamil,released,skill/competence,transversal,communicate verbally in Tamil | speak Tamil | be fluent in Tamil | verbally interact in Tamil | interacting verbally in Tamil,Communicate orally in Tamil.,http://data.europa.eu/esco/skill/e9e9b625-f59f-4bda-952d-1f9831e6dfda,Tamil,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cb50f9cd-3638-409b-8f93-befaf17d313e,Maltese,released,knowledge,transversal,competent in Maltese | ability to comprehend spoken and written Maltese and to speak and write in Maltese,The Maltese language. Maltese is an official and working language of the EU.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,languages | mastering languages,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d6dbc6ea-9bb6-4a8f-9bc2-e9299d74fff9,interact verbally in Vietnamese,released,skill/competence,transversal,be fluent in Vietnamese | interacting verbally in Vietnamese | speak Vietnamese | verbally interact in Vietnamese | communicate verbally in Vietnamese,Communicate orally in Vietnamese.,http://data.europa.eu/esco/skill/bf60009d-8afb-4306-9b0d-cfe2f66ab08f,Vietnamese,,,,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/227accd5-5e70-4cc3-8f1c-3f7b52eb6848,interact verbally in Arabic,released,skill/competence,transversal,interacting verbally in Arabic | verbally interact in Arabic | speak Arabic | communicate verbally in Arabic | be fluent in Arabic,Communicate orally in Arabic.,http://data.europa.eu/esco/skill/33859d93-987c-4caa-a0a9-6159ea7bbc2a,Arabic,,,,,
